"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"J?","1","Conn_Vx1","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J?","1","Wire_5","","","","Connector_Wire:SolderWire-0.25sqmm_1x05_P4.2mm_D0.65mm_OD1.7mm","~"
"J?","1","Co_GPIOx1","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J?","1","Co_GPIOx3","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP?","1","Bridge_I2C_SDA","","","","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"JP?","1","Bridge_I2C_SCL","","","","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"R?,R?","2","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"TP1_GND?,TP2_5V?,TP3_3V?,TP4_TRIG?,TP5_TRIG?","5","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U?","1","ESP32-C3_SUPERMINI_TH","","","","ESP32-C3_SUPERMINI_TH:MODULE_ESP32-C3_SUPERMINI_TH",""
